Precision,Recall
0.0672396359959555,1.0
0.06793129966675211,0.9962406015037594
0.06988396624472573,0.9962406015037594
0.0724835886214442,0.9962406015037594
0.07564469914040114,0.9924812030075187
0.0790264423076923,0.9887218045112782
0.08186951066499373,0.981203007518797
0.08483458892892237,0.9736842105263158
0.08805460750853242,0.9699248120300752
0.09227467811158799,0.9699248120300752
0.09619686800894854,0.9699248120300752
0.09980506822612085,0.9624060150375939
0.10419210419210419,0.9624060150375939
0.1080391322841344,0.9548872180451128
0.11339285714285714,0.9548872180451128
0.11764705882352941,0.9473684210526315
0.1222707423580786,0.9473684210526315
0.127208480565371,0.9473684210526315
0.12727272727272726,0.9473684210526315
0.1323529411764706,0.9473684210526315
0.13685932388222466,0.943609022556391
0.1417278373800113,0.943609022556391
0.14705882352941177,0.9398496240601504
0.15158924205378974,0.9323308270676691
0.15577889447236182,0.9323308270676691
0.16230366492146597,0.9323308270676691
0.16251638269986893,0.9323308270676691
0.1697594501718213,0.9285714285714286
0.16987620357634112,0.9285714285714286
0.17605131860299358,0.9285714285714286
0.18021978021978022,0.924812030075188
0.18608169440242056,0.924812030075188
0.19367588932806323,0.9210526315789473
0.2,0.9172932330827067
0.20016406890894176,0.9172932330827067
0.20608108108108109,0.9172932330827067
0.21428571428571427,0.9135338345864662
0.21359223300970873,0.9097744360902256
0.21758839528558477,0.9022556390977443
0.2177858439201452,0.9022556390977443
0.21798365122615804,0.9022556390977443
0.22336448598130842,0.8984962406015038
0.2313649564375605,0.8984962406015038
0.23757455268389663,0.8984962406015038
0.2436289500509684,0.8984962406015038
0.24973656480505796,0.8909774436090225
0.25901639344262295,0.8909774436090225
0.26636568848758463,0.8872180451127819
0.26666666666666666,0.8872180451127819
0.27325581395348836,0.8834586466165414
0.27357392316647267,0.8834586466165414
0.2738927738927739,0.8834586466165414
0.28363636363636363,0.8796992481203008
0.2894409937888199,0.8759398496240601
0.2901618929016189,0.8759398496240601
0.29419191919191917,0.8759398496240601
0.2945638432364096,0.8759398496240601
0.30299089726918077,0.8759398496240601
0.3114973262032086,0.8759398496240601
0.31233243967828417,0.8759398496240601
0.3204951856946355,0.8759398496240601
0.3252840909090909,0.8609022556390977
0.32703488372093026,0.8458646616541353
0.32751091703056767,0.8458646616541353
0.33432835820895523,0.8421052631578947
0.33532934131736525,0.8421052631578947
0.3441358024691358,0.8383458646616542
0.34312210200927357,0.8345864661654135
0.3469387755102041,0.8308270676691729
0.3474842767295597,0.8308270676691729
0.35772357723577236,0.8270676691729323
0.36333333333333334,0.8195488721804511
0.3639398998330551,0.8195488721804511
0.37221269296740994,0.8157894736842105
0.37349397590361444,0.8157894736842105
0.38137082601054484,0.8157894736842105
0.3963302752293578,0.8120300751879699
0.40225563909774437,0.8045112781954887
0.4030131826741996,0.8045112781954887
0.40847784200385356,0.7969924812030075
0.4092664092664093,0.7969924812030075
0.4222222222222222,0.7857142857142857
0.4306418219461698,0.7819548872180451
0.4315352697095436,0.7819548872180451
0.4334038054968288,0.7706766917293233
0.4343220338983051,0.7706766917293233
0.4406047516198704,0.7669172932330827
0.44395604395604393,0.7593984962406015
0.45351473922902497,0.7518796992481203
0.45454545454545453,0.7518796992481203
0.4533029612756264,0.7481203007518797
0.4602803738317757,0.7406015037593985
0.472289156626506,0.7368421052631579
0.47342995169082125,0.7368421052631579
0.4745762711864407,0.7368421052631579
0.48129675810473815,0.7255639097744361
0.49222797927461137,0.7142857142857143
0.4935064935064935,0.7142857142857143
0.4947916666666667,0.7142857142857143
0.5013404825737265,0.7030075187969925
0.5,0.6992481203007519
0.5111111111111111,0.6917293233082706
0.5125348189415042,0.6917293233082706
0.5202312138728323,0.6766917293233082
0.5207100591715976,0.6616541353383458
0.5319148936170213,0.6578947368421053
0.5335365853658537,0.6578947368421053
0.5329153605015674,0.6390977443609023
0.5442622950819672,0.6240601503759399
0.5427631578947368,0.6203007518796992
0.5582191780821918,0.6127819548872181
0.5586206896551724,0.6090225563909775
0.5605536332179931,0.6090225563909775
0.5625,0.6090225563909775
0.5678571428571428,0.5977443609022557
0.5698924731182796,0.5977443609022557
0.5756457564575646,0.5864661654135338
0.5777777777777777,0.5864661654135338
0.5799256505576208,0.5864661654135338
0.582089552238806,0.5864661654135338
0.603112840466926,0.5827067669172933
0.612,0.575187969924812
0.6169354838709677,0.575187969924812
0.6194331983805668,0.575187969924812
0.6276150627615062,0.5639097744360902
0.6302521008403361,0.5639097744360902
0.6286919831223629,0.5601503759398496
0.6297872340425532,0.556390977443609
0.6331877729257642,0.5451127819548872
0.6299559471365639,0.5375939849624061
0.6465116279069767,0.5225563909774437
0.6495327102803738,0.5225563909774437
0.6570048309178744,0.5112781954887218
0.6553398058252428,0.5075187969924813
0.6585365853658537,0.5075187969924813
0.6617647058823529,0.5075187969924813
0.67,0.5037593984962406
0.6733668341708543,0.5037593984962406
0.6820512820512821,0.5
0.6855670103092784,0.5
0.6918918918918919,0.48120300751879697
0.6956521739130435,0.48120300751879697
0.6994535519125683,0.48120300751879697
0.7085714285714285,0.46616541353383456
0.7167630057803468,0.46616541353383456
0.7349397590361446,0.45864661654135336
0.7393939393939394,0.45864661654135336
0.7439024390243902,0.45864661654135336
0.7484662576687117,0.45864661654135336
0.7597402597402597,0.4398496240601504
0.76,0.42857142857142855
0.7583892617449665,0.424812030075188
0.7567567567567568,0.42105263157894735
0.781021897810219,0.40225563909774437
0.7867647058823529,0.40225563909774437
0.7925925925925926,0.40225563909774437
0.8099173553719008,0.3684210526315789
0.8166666666666667,0.3684210526315789
0.8235294117647058,0.3684210526315789
0.8348623853211009,0.34210526315789475
0.8333333333333334,0.3383458646616541
0.839622641509434,0.33458646616541354
0.8476190476190476,0.33458646616541354
0.8484848484848485,0.3157894736842105
0.8620689655172413,0.2819548872180451
0.8604651162790697,0.2781954887218045
0.875,0.23684210526315788
0.8873239436619719,0.23684210526315788
0.9,0.23684210526315788
0.8985507246376812,0.23308270676691728
0.8833333333333333,0.19924812030075187
0.8983050847457628,0.19924812030075187
0.9767441860465116,0.15789473684210525
1.0,0.11278195488721804
1.0,0.0
